         28972 function calls (28869 primitive calls) in 0.101 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/util.py:427(_fileobj_normalize_mode)
        4    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/extern/configobj/configobj.py:550(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        4    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        4    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/extern/configobj/validate.py:651(_check_value)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:31(iglob)
        3    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_compiler.py:216(_compile_charset)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_parser.py:98(closegroup)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
      4/3    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/util.py:330(isfile)
        6    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_compiler.py:403(_simple)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/memory_profiler.py:1201(choose_backend)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
